date,home_team,away_team,winner
1996/6/5,Martinique,Suriname,Martinique
1996/6/22,England,Spain,England
1996/6/22,France,Netherlands,France
1996/6/26,France,Czech Republic,Czech Republic
1996/6/26,England,Germany,Germany
1996/8/25,Ethiopia,Uganda,Ethiopia
1996/11/29,Sudan,Kenya,Sudan
1996/12/11,Morocco,Croatia,Croatia
1996/12/12,Croatia,Czech Republic,Croatia
1996/12/19,Iran,Saudi Arabia,Saudi Arabia
1996/12/21,Iran,Kuwait,Iran
1996/12/21,United Arab Emirates,Saudi Arabia,Saudi Arabia
1996/12/27,Benin,Burkina Faso,Benin
1997/2/7,Russia,Serbia,Russia
1997/4/10,India,Iraq,Iraq
1997/6/22,Ecuador,Mexico,Mexico
1997/7/10,Trinidad and Tobago,Jamaica,Trinidad and Tobago
1997/10/20,Haiti,Cuba,Haiti
1997/10/22,Cuba,Cameroon,Cuba
1997/12/7,Gambia,Guinea,Guinea
1998/1/31,Egypt,South Korea,South Korea
1998/1/31,Iran,Chile,Iran
1998/2/21,Burkina Faso,Tunisia,Burkina Faso
1998/2/21,Ivory Coast,Egypt,Egypt
1998/2/27,Burkina Faso,DR Congo,DR Congo
1998/4/22,Hungary,North Macedonia,Hungary
1998/5/29,Belgium,England,Belgium
1998/5/29,Morocco,France,Morocco
1998/6/30,Argentina,England,Argentina
1998/7/3,France,Italy,France
1998/7/7,Brazil,Netherlands,Brazil
1998/9/5,Indonesia,Thailand,Indonesia
1998/11/17,Guatemala,Honduras,Guatemala
1998/11/18,Guatemala,Mexico,Guatemala
1998/12/2,United Arab Emirates,North Korea,United Arab Emirates
1999/5/22,Malawi,Namibia,Namibia
1999/6/16,Thailand,New Zealand,Thailand
1999/6/19,New Zealand,Poland,Poland
1999/7/10,Mexico,Peru,Mexico
1999/7/10,Paraguay,Uruguay,Uruguay
1999/7/13,Uruguay,Chile,Uruguay
1999/7/18,Eswatini,Zimbabwe,Eswatini
1999/7/31,Namibia,South Africa,Namibia
1999/8/3,Rwanda,Kenya,Kenya
1999/8/7,Rwanda,Burundi,Rwanda
1999/8/7,Zambia,Mozambique,Zambia
1999/8/28,Namibia,Eswatini,Namibia
1999/11/26,Gabon,Togo,Togo
2000/2/4,Romania,Georgia,Romania
2000/2/12,South Africa,Tunisia,South Africa
2000/2/13,Nigeria,Cameroon,Cameroon
2000/2/19,United States,Colombia,Colombia
2000/3/19,Suriname,Saint Lucia,Suriname
2000/4/29,British Virgin Islands,Sint Maarten,British Virgin Islands
2000/4/30,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda
2000/5/10,Maldives,Sri Lanka,Sri Lanka
2000/5/11,Senegal,Mali,Senegal
2000/5/20,Malawi,Angola,Angola
2000/5/21,Barbados,Cuba,Barbados
2000/6/4,France,Japan,France
2000/6/7,Iran,Egypt,Egypt
2000/6/11,Lesotho,Zambia,Lesotho
2000/6/29,Netherlands,Italy,Italy
2000/7/14,Libya,Chad,Libya
2000/7/16,Mozambique,Lesotho,Lesotho
2000/9/3,Togo,Sierra Leone,Togo
2000/10/4,United Arab Emirates,South Korea,United Arab Emirates
2000/10/28,Kenya,Uganda,Uganda
2000/12/2,Ethiopia,Rwanda,Ethiopia
2001/1/17,China PR,Egypt,Egypt
2001/1/27,South Korea,Paraguay,South Korea
2001/2/11,Eswatini,Zambia,Eswatini
2001/7/29,Uruguay,Honduras,Honduras
2001/8/3,China PR,North Korea,North Korea
2001/8/3,Kuwait,Trinidad and Tobago,Kuwait
2001/8/5,Kuwait,North Korea,North Korea
2001/8/18,Zambia,Angola,Angola
2001/10/24,Kenya,Uganda,Kenya
2001/10/24,Tanzania,DR Congo,Tanzania
2001/12/18,Ethiopia,Burundi,Ethiopia
2002/1/6,Martinique,Haiti,Martinique
2002/1/26,Canada,Martinique,Canada
2002/1/27,Mexico,South Korea,South Korea
2002/1/30,United States,Canada,United States
2002/2/10,Senegal,Cameroon,Cameroon
2002/2/12,Cyprus,Switzerland,Cyprus
2002/2/15,China PR,Slovenia,Slovenia
2002/2/16,Thailand,North Korea,North Korea
2002/3/30,Botswana,South Africa,South Africa
2002/5/17,Russia,Belarus,Belarus
2002/5/19,Russia,Serbia,Serbia
2002/6/16,Spain,Republic of Ireland,Spain
2002/6/22,South Korea,Spain,South Korea
2002/7/21,South Africa,Madagascar,South Africa
2002/9/5,Iraq,Iran,Iraq
2002/9/7,Syria,Iran,Iran
2002/9/17,Iran,Morocco,Iran
2002/9/19,Iran,Paraguay,Iran
2002/10/23,Kenya,South Africa,Kenya
2002/10/26,Tanzania,South Africa,South Africa
2002/10/26,Kenya,Uganda,Kenya
2002/11/19,South Africa,Senegal,Senegal
2002/12/27,Niger,Burkina Faso,Burkina Faso
2002/12/29,Niger,Mali,Niger
2003/1/20,Bangladesh,Maldives,Bangladesh
2003/2/4,Uruguay,Iran,Uruguay
2003/3/7,Benin,Niger,Benin
2003/3/15,Guadeloupe,French Guiana,Guadeloupe
2003/3/22,Mozambique,Lesotho,Mozambique
2003/3/27,Tunisia,Ghana,Tunisia
2003/3/30,Ghana,Madagascar,Ghana
2003/5/24,Botswana,Malawi,Malawi
2003/7/9,New Caledonia,Vanuatu,New Caledonia
2003/8/16,Malawi,Zambia,Malawi
2003/9/24,Algeria,Gabon,Algeria
2003/9/26,Algeria,Burkina Faso,Algeria
2003/12/8,Kenya,Rwanda,Rwanda
2003/12/8,Sudan,Uganda,Uganda
2004/2/11,Tunisia,Nigeria,Tunisia
2004/2/19,Kazakhstan,Armenia,Kazakhstan
2004/2/28,Lesotho,Botswana,Botswana
2004/6/23,Jordan,Syria,Syria
2004/6/24,Portugal,England,Portugal
2004/6/26,Sweden,Netherlands,Netherlands
2004/7/18,Angola,Botswana,Angola
2004/7/21,Uruguay,Brazil,Brazil
2004/7/25,Argentina,Brazil,Brazil
2004/7/30,Uzbekistan,Bahrain,Bahrain
2004/7/31,Japan,Jordan,Japan
2004/8/3,China PR,Iran,China PR
2004/10/22,Nigeria,Ecuador,Ecuador
2004/10/24,Zimbabwe,Zambia,Zambia
2004/11/20,Zambia,Angola,Angola
2004/11/30,Thailand,Estonia,Thailand
2004/11/30,Singapore,Hong Kong,Hong Kong
2004/12/2,Thailand,Slovakia,Slovakia
2004/12/3,Bahrain,Latvia,Bahrain
2004/12/3,Finland,Oman,Oman
2004/12/22,Ethiopia,Kenya,Ethiopia
2004/12/24,Qatar,Oman,Qatar
2005/2/8,Cyprus,Austria,Cyprus
2005/2/9,Austria,Latvia,Latvia
2005/2/27,Costa Rica,Honduras,Costa Rica
2005/4/16,Namibia,Botswana,Botswana
2005/6/26,Mexico,Argentina,Argentina
2005/7/21,Colombia,Panama,Panama
2005/7/24,United States,Panama,United States
2005/7/28,Kuwait,United Arab Emirates,United Arab Emirates
2005/7/30,Egypt,United Arab Emirates,Egypt
2005/8/13,South Africa,Zambia,Zambia
2005/8/15,Ukraine,Israel,Israel
2005/11/16,Australia,Uruguay,Australia
2005/12/10,Syria,Iraq,Iraq
2005/12/10,Zanzibar,Uganda,Zanzibar
2006/2/4,Nigeria,Tunisia,Nigeria
2006/2/4,Cameroon,Ivory Coast,Ivory Coast
2006/2/10,Egypt,Ivory Coast,Egypt
2006/2/28,Finland,Kazakhstan,Kazakhstan
2006/3/1,Finland,Belarus,Finland
2006/4/29,Lesotho,Mozambique,Lesotho
2006/4/30,Mauritius,Mozambique,Mozambique
2006/5/21,Botswana,South Africa,Botswana
2006/6/3,Northern Cyprus,Zanzibar,Northern Cyprus
2006/6/26,Switzerland,Ukraine,Ukraine
2006/6/30,Germany,Argentina,Germany
2006/7/1,England,Portugal,Portugal
2006/7/9,Italy,France,Italy
2006/7/22,Namibia,Seychelles,Seychelles
2007/4/29,Mozambique,Zimbabwe,Mozambique
2007/5/26,Malawi,South Africa,South Africa
2007/5/26,Eswatini,Mauritius,Mauritius
2007/7/10,Uruguay,Brazil,Brazil
2007/7/21,Japan,Australia,Japan
2007/7/22,Iran,South Korea,South Korea
2007/7/25,Iraq,South Korea,Iraq
2007/7/28,South Korea,Japan,South Korea
2007/7/29,Botswana,Angola,Botswana
2007/10/24,South Africa,Zambia,South Africa
2008/6/20,Croatia,Turkey,Turkey
2008/6/22,Spain,Italy,Spain
2008/7/27,Zambia,Zimbabwe,Zambia
2009/6/26,Provence,Sápmi,Sápmi
2009/7/23,Costa Rica,Mexico,Mexico
2009/10/28,Zimbabwe,South Africa,Zimbabwe
2010/1/25,Zambia,Nigeria,Nigeria
2010/6/29,Paraguay,Japan,Paraguay
2010/7/2,Uruguay,Ghana,Uruguay
2011/1/25,Japan,South Korea,Japan
2011/2/8,Romania,Ukraine,Ukraine
2011/2/9,Sweden,Ukraine,Ukraine
2011/6/8,Uruguay,Netherlands,Uruguay
2011/6/18,Costa Rica,Honduras,Honduras
2011/6/19,Panama,El Salvador,Panama
2011/7/16,Argentina,Uruguay,Uruguay
2011/7/17,Brazil,Paraguay,Paraguay
2011/7/20,Paraguay,Venezuela,Paraguay
2012/2/5,Gabon,Mali,Mali
2012/2/12,Zambia,Ivory Coast,Zambia
2012/6/3,Finland,Latvia,Latvia
2012/6/24,England,Italy,Italy
2012/6/27,Portugal,Spain,Spain
2012/11/21,Argentina,Brazil,Brazil
2013/1/23,Sweden,North Korea,Sweden
2013/2/2,South Africa,Mali,Mali
2013/2/6,Burkina Faso,Ghana,Burkina Faso
2013/6/27,Spain,Italy,Spain
2013/6/30,Uruguay,Italy,Italy
2013/7/13,Zimbabwe,Malawi,Zimbabwe
2013/7/14,Angola,Lesotho,Lesotho
2013/7/17,Zambia,South Africa,Zambia
2014/5/29,Latvia,Estonia,Latvia
2014/6/28,Brazil,Chile,Brazil
2014/6/29,Costa Rica,Greece,Costa Rica
2014/7/5,Netherlands,Costa Rica,Netherlands
2014/7/9,Netherlands,Argentina,Argentina
2015/1/23,Iran,Iraq,Iraq
2015/1/23,Japan,United Arab Emirates,United Arab Emirates
2015/1/30,Curaçao,Aruba,Aruba
2015/2/7,Equatorial Guinea,DR Congo,DR Congo
2015/2/8,Ivory Coast,Ghana,Ivory Coast
2015/5/24,Zambia,Namibia,Namibia
2015/5/24,South Africa,Botswana,Botswana
2015/5/25,Mozambique,Malawi,Mozambique
2015/5/27,South Africa,Malawi,Malawi
2015/6/26,Argentina,Colombia,Argentina
2015/6/27,Brazil,Paraguay,Paraguay
2015/7/4,Chile,Argentina,Chile
2015/7/4,Zambia,Namibia,Zambia
2015/7/19,Trinidad and Tobago,Panama,Panama
2015/7/25,United States,Panama,Panama
2015/10/13,El Salvador,Guatemala,Guatemala
2016/2/3,DR Congo,Guinea,DR Congo
2016/5/27,Corsica,Basque Country,Basque Country
2016/6/3,Bosnia and Herzegovina,Denmark,Bosnia and Herzegovina
2016/6/3,Thailand,Syria,Thailand
2016/6/3,Vietnam,Hong Kong,Vietnam
2016/6/11,Papua New Guinea,New Zealand,New Zealand
2016/6/17,Peru,Colombia,Colombia
2016/6/18,Namibia,Botswana,Botswana
2016/6/18,South Africa,Lesotho,South Africa
2016/6/19,Zambia,Eswatini,Eswatini
2016/6/22,Botswana,DR Congo,Botswana
2016/6/25,Switzerland,Poland,Poland
2016/6/26,Argentina,Chile,Chile
2016/6/30,Poland,Portugal,Portugal
2016/7/2,Germany,Italy,Germany
2017/1/11,Chile,Croatia,Chile
2017/1/14,China PR,Croatia,China PR
2017/2/1,Burkina Faso,Egypt,Egypt
2017/6/28,Portugal,Chile,Chile
2017/7/1,Namibia,Lesotho,Lesotho
2017/7/7,Tanzania,Lesotho,Tanzania
2017/7/16,Thailand,Belarus,Thailand
2018/3/21,South Africa,Angola,South Africa
2018/3/21,Zambia,Zimbabwe,Zambia
2018/3/22,Thailand,Gabon,Thailand
2018/3/24,Angola,Zimbabwe,Angola
2018/6/2,Zambia,Namibia,Zambia
2018/6/3,Andorra,Cape Verde,Cape Verde
2018/6/3,South Africa,Madagascar,Madagascar
2018/6/3,Zimbabwe,Botswana,Zimbabwe
2018/6/6,Lesotho,Zimbabwe,Zimbabwe
2018/7/1,Russia,Spain,Russia
2018/7/1,Croatia,Denmark,Croatia
2018/7/3,Colombia,England,England
2018/7/7,Russia,Croatia,Croatia
2019/1/20,Jordan,Vietnam,Vietnam
2019/1/21,Australia,Uzbekistan,Australia
2019/3/23,Oman,Singapore,Oman
2019/6/1,Lesotho,Uganda,Lesotho
2019/6/2,South Africa,Botswana,Botswana
2019/6/2,Zambia,Malawi,Zambia
2019/6/4,South Africa,Uganda,South Africa
2019/6/5,Zimbabwe,Zambia,Zambia
2019/6/7,Lesotho,Zimbabwe,Zimbabwe
2019/6/7,South Africa,Malawi,South Africa
2019/6/9,Switzerland,England,England
2019/6/27,Brazil,Paraguay,Brazil
2019/6/28,Colombia,Chile,Chile
2019/6/29,Mexico,Costa Rica,Mexico
2019/6/29,Uruguay,Peru,Peru
2019/7/5,Morocco,Benin,Benin
2019/7/7,Madagascar,DR Congo,Madagascar
2019/7/8,Ghana,Tunisia,Tunisia
2019/7/11,Ivory Coast,Algeria,Algeria
2019/9/8,Tanzania,Burundi,Tanzania
2019/10/13,Chad,Liberia,Chad
2019/10/13,Gambia,Djibouti,Gambia
2020/10/8,Bosnia and Herzegovina,Northern Ireland,Northern Ireland
2020/10/8,Slovakia,Republic of Ireland,Slovakia
2020/10/8,Scotland,Israel,Scotland
2020/11/12,Serbia,Scotland,Scotland
2021/6/3,Mexico,Costa Rica,Mexico
2021/6/6,Honduras,Costa Rica,Honduras
2021/6/28,France,Switzerland,Switzerland
2021/7/2,Peru,Paraguay,Peru
2021/7/2,Switzerland,Spain,Spain
2021/7/3,Uruguay,Colombia,Colombia
2021/7/6,Italy,Spain,Italy
2021/7/6,Trinidad and Tobago,French Guiana,Trinidad and Tobago
2021/7/6,Argentina,Colombia,Argentina
